checkpoint,train_accuracy,eval_accuracy,changednames_accuracy
checkpoint-5000,0.59284,0.59135,0.1345
checkpoint-15000,0.81386,0.80065,0.13165
checkpoint-25000,0.99114,0.98975,0.15195
checkpoint-35000,0.99948,0.99915,0.15135
checkpoint-45000,1.0,1.0,0.1521
checkpoint-55000,1.0,1.0,0.15185
checkpoint-65000,1.0,1.0,0.15155
checkpoint-75000,1.0,1.0,0.1517
